"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 29-Apr-2024","1W AGO 
 25-Apr-2024","1M AGO 
 01-Apr-2024","1Y AGO 
 02-May-2023","52W H 
","52W L 
","365 D % CHNG 
 02-May-2023","30 D % CHNG 
 01-Apr-2024"
"NIFTY COMMODITIES","8,874.35","0.87","8,815.10","8,905.05","8,803.80","8,797.50","8,837.65","8,749.50","8,504.60","5,845.25","8,905.05","5,679.60","51.82","4.35"
"NIFTY INDIA CONSUMPTION","10,462.90","0.55","10,399.10","10,482.10","10,394.95","10,405.35","10,352.20","10,350.85","10,133.20","7,522.65","10,482.10","7,560.75","39.09","3.25"
"NIFTY CPSE","6,336.60","1.32","6,264.90","6,375.15","6,233.20","6,253.95","6,223.50","6,185.55","5,867.10","3,107.95","6,375.15","3,049.10","103.88","8.00"
"NIFTY ENERGY","40,801.10","1.08","40,490.75","40,971.10","40,383.85","40,366.70","40,352.10","39,989.25","39,489.70","24,046.95","40,971.10","23,458.35","69.67","3.32"
"NIFTY INFRASTRUCTURE","8,630.50","0.64","8,585.95","8,649.90","8,581.85","8,575.25","8,587.35","8,548.40","8,423.05","5,387.20","8,651.40","5,312.75","60.20","2.46"
"NIFTY100 LIQUID 15","6,589.85","-0.14","6,598.35","6,623.20","6,583.00","6,599.30","6,584.40","6,602.20","6,446.20","4,560.85","6,645.25","4,551.60","44.49","2.23"
"NIFTY MIDCAP LIQUID 15","11,350.00","0.37","11,387.15","11,395.50","11,296.10","11,308.15","11,215.30","11,068.65","10,998.95","7,763.95","11,517.75","7,693.00","46.19","3.19"
"NIFTY MNC","27,295.80","0.83","27,057.00","27,355.85","27,054.20","27,071.40","26,988.25","26,838.50","26,113.45","19,854.25","27,355.85","20,015.10","37.48","4.53"
"NIFTY PSE","10,222.00","2.29","10,042.75","10,255.85","10,027.15","9,993.35","9,938.55","9,828.05","9,292.35","4,758.60","10,255.85","4,718.85","114.81","10.00"
"NIFTY SERVICES SECTOR","28,486.55","-0.06","28,401.70","28,548.80","28,398.70","28,503.40","28,589.35","28,398.65","28,050.85","23,828.95","28,770.55","23,553.50","19.55","1.55"
"NIFTY100 ESG SECTOR LEADERS","3,749.65","0.26","3,735.50","3,758.85","3,734.75","3,739.95","3,743.85","3,728.20","3,725.00","2,908.95","-","-","28.90","0.66"
"NIFTY INDIA DIGITAL","7,733.60","0.41","7,696.55","7,755.30","7,677.80","7,701.65","7,743.70","7,711.35","7,799.75","5,277.95","8,049.00","4,755.25","46.53","-0.85"
"NIFTY100 ESG","4,439.40","0.36","4,420.80","4,446.55","4,420.40","4,423.35","4,422.00","4,406.60","4,397.55","3,352.35","-","-","32.43","0.95"
"NIFTY INDIA MANUFACTURING","13,076.25","0.82","13,011.65","13,107.40","12,981.35","12,970.00","12,948.25","12,850.10","12,374.65","8,396.30","-","-","55.74","5.67"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","16,556.05","1.27","16,352.65","16,581.55","16,352.65","16,348.75","16,378.35","16,290.60","-","-","16,583.60","9,887.45","-","-"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","13,656.85","0.77","13,590.35","13,693.45","13,564.95","13,552.35","13,508.30","13,424.20","-","-","13,693.45","8,394.35","-","-"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","13,299.85","0.38","13,278.10","13,329.90","13,241.10","13,249.70","13,231.55","13,113.25","-","-","13,353.40","8,010.10","-","-"
"NIFTY 8-13 YR G-SEC","2,584.35","0.19","2,579.66","2,584.60","2,579.66","2,579.19","2,579.98","2,576.38","2,588.16","2,418.55","-","-","6.86","-0.15"
"NIFTY 10 YR BENCHMARK G-SEC","2,279.41","0.18","2,275.14","2,280.49","2,275.14","2,275.13","2,276.88","2,276.35","2,292.30","2,144.57","-","-","6.29","-0.56"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","870.34","0.18","868.71","870.76","868.71","868.71","869.38","869.19","877.61","875.85","-","-","-0.63","-0.83"
"NIFTY 4-8 YR G-SEC INDEX","2,803.23","0.10","2,800.75","2,804.31","2,800.75","2,800.19","2,799.65","2,796.95","2,800.76","2,630.76","-","-","6.56","0.09"
"NIFTY 11-15 YR G-SEC INDEX","2,845.98","0.11","2,843.19","2,847.12","2,843.19","2,842.63","2,844.18","2,841.42","2,859.36","2,647.59","-","-","7.49","-0.47"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,122.17","0.20","3,116.33","3,124.51","3,116.33","3,115.71","3,120.06","3,117.16","3,166.35","2,908.13","-","-","7.36","-1.40"
"NIFTY COMPOSITE G-SEC INDEX","2,669.16","0.16","2,665.26","2,670.26","2,665.26","2,664.76","2,666.00","2,662.55","2,678.98","2,497.65","-","-","6.87","-0.37"
